,0,1,2,3,4,5,6
0,2.511,12.528,61.019,4.476,82.292,81.05,7.341000000000001
1,2.262,13.442,61.358,4.574,86.684,81.107,7.983000000000002
2,1.8989999999999998,14.569,62.121,4.597,94.497,81.176,8.67
3,1.673,15.148,63.025,4.48,101.958,81.253,9.357
4,1.692,14.887,63.847,4.3,105.84,81.335,9.994
5,1.821,14.217,64.718,4.24,106.513,81.42,10.483
6,1.977,13.482,65.486,4.238,106.836,81.505,10.812
7,2.192,12.707,65.721,4.214,107.858,81.59,11.103
8,2.471,12.049,65.559,4.189,108.922,81.67,11.588
9,2.791,11.728,65.62,4.18,110.139,81.746,12.34
10,3.084,11.926,66.12,4.179,112.377,81.815,13.188
11,3.286,12.386,66.795,4.175,115.479,81.875,13.744
12,3.382,12.842,67.739,4.216,118.138,81.925,13.832
13,3.338,13.089,68.365,4.402,116.855,81.962,13.461
14,3.074,13.015,67.938,4.603,110.907,81.985,12.764
15,2.727,12.618,66.84,4.663,102.764,81.992,11.817
16,2.537,12.241,65.484,4.623,97.694,81.981,11.006
17,2.503,12.082,64.105,4.602,97.823,81.952,10.8
18,2.63,11.845,64.008,4.622,102.773,81.901,11.474
19,2.998,11.325,65.486,4.644,110.04,81.83,12.71
20,3.445,10.746,67.168,4.658,116.615,81.738,13.881000000000002
21,3.761,10.448,68.343,4.664,118.449,81.626,14.488
22,4.071,10.323,68.712,4.671,115.426,81.496,14.586
23,4.422,10.24,67.941,4.736,108.869,81.35,14.428
24,4.687,10.201,66.567,4.828,108.864,81.192,14.121
25,4.84,10.169,65.458,4.763,109.094,81.025,13.616
26,4.981,10.035,64.76,4.498,108.15,80.855,12.851
27,5.077,9.809,64.714,4.195,106.41,80.685,11.899
28,5.135,9.481,64.954,3.986,104.016,80.521,10.951
29,5.167,8.99,64.836,3.871,100.666,80.366,10.07
30,5.095,8.427,64.359,3.819,96.357,80.226,9.122
31,4.737,8.058,63.82,3.825,90.98,80.102,8.012
32,3.97,8.264,63.179,3.838,85.009,79.998,6.866
33,3.141,8.874,62.506,3.846,79.195,79.915,5.998999999999999
34,2.729,9.276,61.807,3.875,74.791,79.852,5.559000000000001
35,2.899,9.046,61.12,3.899,72.871,79.811,5.544999999999998
36,3.252,8.581,60.785,3.889,73.385,79.789,5.724
37,3.589,8.169,60.851,3.922,75.224,79.784,5.920999999999999
38,3.968,7.789,61.175,4.087,76.752,79.793,6.035
39,4.333,7.48,61.63,4.23,77.212,79.813,6.126000000000001
40,4.612,7.319,61.642,4.256,78.416,79.839,6.2940000000000005
41,4.687,7.555,60.899,4.241,82.866,79.868,6.565999999999999
42,4.441,8.542,61.169,4.254,90.918,79.897,6.844999999999999
43,3.731,10.632,63.114,4.274,99.389,79.921,7.1370000000000005
44,2.917,12.951,64.394,4.313,105.895,79.938,7.734
45,2.393,14.477,64.85,4.367,109.739,79.947,8.812
46,2.24,14.971,66.01,4.401,110.305,79.945,10.053
47,2.198,14.965,66.603,4.421,105.887,79.934,10.702
48,2.175,14.347,65.461,4.363,96.641,79.916,10.542
49,2.13,13.268,63.874,4.173,88.997,79.891,9.868
50,2.093,12.468,62.992,3.976,88.883,79.864,9.168
51,2.216,11.995,62.421,3.896,97.106,79.839,8.648
52,2.714,11.037,62.223,3.906,106.153,79.819,8.557
53,3.281,9.995,63.021,3.9,109.368,79.809,8.983
54,3.597,9.404,64.863,3.884,104.888,79.813,9.757
55,3.844,8.718,66.381,3.889,96.677,79.835,10.236
56,4.138,7.387,66.576,3.911,88.608,79.876,10.035
57,4.164,5.961,65.439,3.9139999999999997,82.951,79.94,9.257
58,3.783,5.248999999999999,63.97,3.904,79.23,80.027,8.351
59,3.275,5.102,62.948,3.998,75.582,80.137,7.494
60,2.819,5.163,62.521,4.253,71.479,80.27,6.678000000000001
61,2.504,5.247,62.124,4.426,68.493,80.423,5.916999999999998
62,2.346,5.311,61.542,4.426,70.163,80.593,5.327999999999996
63,2.338,5.385999999999999,61.062,4.331,77.352,80.778,5.129000000000001
64,2.51,5.733,60.921,4.251,88.097,80.972,5.391000000000002
65,2.95,6.531,61.028,4.34,98.555,81.171,6.158999999999999
66,3.622,7.801,61.25,4.654,106.745,81.369,7.400000000000002
67,4.275,9.136,61.846,4.98,112.619,81.56,8.895
68,4.712,10.166,63.243,5.081,116.721,81.741,10.421
69,4.923,10.626,65.125,4.854,118.778,81.904,11.732
70,4.963,10.752,66.731,4.454,117.784,82.048,12.705
71,4.86,10.843,67.883,4.098,114.773,82.166,13.165
72,4.725,10.933,68.381,3.938,111.769,82.258,13.136
73,4.648,10.95,67.76,3.975,111.533,82.324,12.935
74,4.652,11.029,66.676,4.076,115.027,82.36,13.088
75,4.644,11.8,66.585,4.125,121.414,82.37,13.817
76,4.613,13.49,67.449,4.138,128.431,82.356,14.963
77,4.522,15.335,68.548,4.129,133.204,82.319,16.0
78,4.394,16.424,69.592,4.092,133.609,82.264,16.469
79,4.235,16.852,70.353,4.035,129.464,82.195,16.243
80,3.902,17.195,70.309,3.978,122.978,82.114,15.527
81,3.346,17.686,69.661,3.946,115.626,82.027,14.613
82,2.736,18.402,68.785,3.923,107.984,81.935,13.635
83,2.285,19.179,67.447,3.884,100.909,81.842,12.538
84,1.943,19.728,65.7,3.84,95.682,81.751,11.195
85,1.694,19.537,64.276,3.814,91.866,81.664,9.662
86,1.654,18.254,63.104,3.804,88.535,81.583,8.318
87,1.825,16.291,61.866,3.7799999999999994,85.866,81.508,7.425000000000001
88,2.064,14.633,60.954,3.763,85.565,81.443,7.094000000000001
89,2.36,13.242,60.532,3.787,88.901,81.386,7.172999999999998
90,3.016,11.016,60.456,3.912,95.073,81.339,7.677
91,3.983,8.33,60.946,4.237,101.272,81.303,8.694
92,4.608,6.87,62.303,4.66,105.899,81.277,10.045000000000002
93,4.597,7.117,64.413,4.975,108.988,81.263,11.367
94,4.371,7.714,66.396,5.045,109.971,81.261,12.175
95,4.145,8.155,67.302,4.954,106.788,81.27,12.318
96,3.602,8.809,66.615,4.8,99.495,81.291,11.761
97,2.792,9.455,65.17,4.653,91.796,81.323,10.822
98,2.15,9.765,63.696,4.551,89.687,81.365,10.004
99,1.977,9.789,62.725,4.496,94.075,81.418,9.92
100,2.058,9.953,63.025,4.449,101.429,81.478,10.65
101,2.291,10.289,64.547,4.403,106.214,81.546,11.824
102,2.507,10.626,65.797,4.313,106.689,81.62,12.71
103,2.665,10.85,65.897,4.178,104.105,81.699,12.971
104,2.908,11.032,65.22,4.085,101.405,81.781,12.678
105,3.314,11.179,64.531,4.041,100.201,81.867,12.097
106,3.721,11.269,64.058,4.009,100.608,81.954,11.486
107,4.002,11.388,63.77,4.032,101.317,82.043,11.058
108,4.209,11.608,63.667,4.274,102.008,82.133,10.95
109,4.435,11.929,63.84,4.712,104.803,82.222,11.156
110,4.56,12.627,64.384,5.108,111.382,82.31,11.743
111,4.246,14.115,65.508,5.315,120.672,82.395,12.83
112,3.646,15.931,67.434,5.436,128.328,82.476,14.426
113,3.224,17.0,69.428,5.556,129.73,82.55,15.993
114,3.031,17.41,70.122,5.557,123.577,82.616,16.471
115,2.628,18.04,69.361,5.307,111.935,82.673,15.366
116,2.028,18.358,67.579,4.937,99.993,82.719,13.309
117,1.623,18.07,65.173,4.728,91.85,82.754,11.5
118,1.542,17.607,63.11,4.81,91.519,82.778,10.518
119,1.737,17.156,62.751,5.14,100.004,82.79,10.409
120,2.76,15.335,63.816,5.539,114.719,82.794,10.959
121,4.632,12.336,65.889,5.791,127.88500000000002,82.789,12.131
122,6.187,10.104,68.607,5.754,134.796,82.778,13.837
123,6.76,9.411,71.25,5.478,133.929,82.763,15.79
124,6.566,9.746,72.879,5.126,129.456,82.746,17.25
125,5.951,10.703,73.306,4.879,124.144,82.727,17.476
126,4.846,12.371,72.777,4.802,118.09,82.708,16.361
127,3.49,14.289,71.532,4.84,111.37,82.689,14.399
128,2.441,15.636,69.777,4.857,105.69,82.669,12.421
129,1.887,16.279,67.914,4.849,102.737,82.648,10.814
130,1.698,16.439,66.539,4.87,100.577,82.625,9.746
131,1.779,16.12,65.287,4.915,96.477,82.598,9.094
132,2.145,15.248000000000001,63.868,4.931,91.353,82.566,8.664
133,2.512,14.353,62.63,4.922,88.853,82.529,8.297
134,2.779,13.771,61.615,4.944,92.977,82.485,8.148000000000001
135,3.605,12.825,60.948,4.981,104.78,82.434,8.649
136,5.007,11.726,61.364,5.008,121.292,82.375,10.059
137,6.217,11.063,63.276,5.033,134.67,82.309,12.231
138,6.61,11.122,66.463,5.051,138.546,82.235,14.47
139,6.594,11.161,69.744,5.014,132.302,82.155,15.804
140,5.926,11.259,72.218,4.851,119.821,82.069,15.787
141,4.311,11.62,72.849,4.591,107.472,81.979,14.621
142,2.799,11.965,71.689,4.358,99.444,81.886,13.119
143,2.33,11.877,69.435,4.213,97.091,81.793,11.811
144,2.61,11.457,67.04,4.118,98.234,81.701,11.033
145,3.08,10.997,65.105,4.02,100.324,81.613,10.788
146,3.526,10.569,64.396,3.944,101.096,81.532,10.937
147,3.802,10.275,64.759,3.911,99.946,81.459,11.066
148,3.923,10.162,65.226,3.89,97.545,81.395,10.92
149,3.961,10.188,65.287,3.883,96.701,81.343,10.584
150,3.861,10.313,65.027,3.953,98.97,81.302,10.46
151,3.477,10.593,64.359,4.126,103.406,81.273,10.753
152,2.974,10.912,63.876,4.339,106.167,81.256,11.4
153,2.639,11.069,64.362,4.559,104.227,81.251,11.947
154,2.474,10.98,65.401,4.799,97.372,81.255,11.903000000000002
155,2.294,10.829,65.859,4.946,89.666,81.27,10.967
156,2.112,10.833,65.727,4.803,84.811,81.293,9.612
157,2.021,10.956,65.19,4.363,83.688,81.324,8.525
158,2.014,11.012,64.191,4.02,85.27,81.362,8.24
159,2.061,10.948,63.007,4.073,90.412,81.406,8.726
160,2.324,10.771,62.723,4.506,100.127,81.455,9.807
161,3.213,10.951,64.513,4.895,112.651,81.508,11.205
162,4.454,11.783,67.642,4.968,122.897,81.563,12.716
163,5.304,12.741,70.193,4.744,126.456,81.619,13.753
164,5.461,13.194,71.417,4.466,122.304,81.673,13.678
165,5.122,13.474,71.116,4.208,113.089,81.724,12.551
166,4.341,13.576,68.986,3.988,103.765,81.77,11.187
167,3.764,12.995,66.034,3.849,96.454,81.808,10.232
